seq_no,school_id,census_no,name,address,tel,email,province,district,zone,division,medium,sex,government_type,school_category,grade_span,difficulty,total_students
1946,0404043,3676,DELTA EAST TAMIL VIDYLAYAM,PUPURESSA,0778779971,,Central,Kandy,Gampola,Udapalatha,Tamil,Mixed,Provincial,Type 2,Grade 1-11,Difficult,179
1947,0404067,3677,KALOOGALLA TAMIL VIDYALAYAM,PUSSELLAWA,0776116573,,Central,Kandy,Gampola,Udapalatha,Tamil,Mixed,Provincial,Type 3,Grade 1-8,Difficult,179
1948,0404068,3678,CHOUGHLEIGH TAMIL VIDYALAYA,PUSSELLAWA,0774915105,,Central,Kandy,Gampola,Udapalatha,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Congenial,46
1949,0404069,3679,KIRIWANA TAMIL VIDYALAYAM,NILLAMBE,0779822545,gamkiriwanatv@gmail.com,Central,Kandy,Gampola,Udapalatha,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Very Difficult,27
1950,0404044,3680,WARIYAGALA TAMIL VIDYALAYA,WARIYAGALA TAMIL VIDIYALAYA NILLAMBE,0773253893,,Central,Kandy,Gampola,Udapalatha,Tamil,Mixed,Provincial,Type 2,Grade 1-11,Congenial,89
1951,0404070,3681,YOGALETCHUMI TAMIL VIDYALAYA,PALLE DELTOTA GALAHA,0775919564,gamyogaletchmitv@gmail.com,Central,Kandy,Gampola,Udapalatha,Tamil,Mixed,Provincial,Type 3,Grade 1-8,Not Congenial,101
1952,0404045,3682,UPLAND TAMIL VIDYALAYA,PERADENIYA,0718280427,gamuplandtv@gmail.com,Central,Kandy,Gampola,Udapalatha,Tamil,Mixed,Provincial,Type 2,Grade 1-11,Difficult,196
1953,0404071,3683,BLACK FOREST TAMIL VIDYALAYAM,PUSSELLAWA,0776508190,gamblackforesttv@gmail.com,Central,Kandy,Gampola,Udapalatha,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,56
1954,0404072,3684,ATABAGE TAMIL VIDYALAYAM,ATABAGE,0772731402,gamatabagetv@gmail.com,Central,Kandy,Gampola,Udapalatha,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Very Difficult,61
1955,0404046,3685,NAYAPANE TAMIL VIDYALAYAM,PUSSELLAWA,0779186573,gamnayapanetv@gmail.com,Central,Kandy,Gampola,Udapalatha,Tamil,Mixed,Provincial,Type 2,Grade 1-11,Difficult,399
1956,0406020,3686,EVALGOLLA TAMIL VIDIYALAYAM,UDAHENTHENNA,0724302846,gamevelgollatv@gmail.com,Central,Kandy,Gampola,Ganga Ihala Korale,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,48
1957,0404022,3687,GAMPOLA HINDU COLLEGE,GAMPOLA,0812351454,ghcgampola@gmail.com,Central,Kandy,Gampola,Udapalatha,Tamil,Mixed,Provincial,1C,Grade 1-13,Very Congenial,1001
1958,0407020,3689,HYNDFORD MAPAKANDA MUSLIM VIDIYALAYA,"MAPAKANDA, NAWALAPITIYA",0776102221,gamhndfordmmv@gmail.com,Central,Kandy,Gampola,Pasbage Korale,Tamil,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,139
1959,0409023,3690,ASAMODAGAMYAYA PRIMERY SCHOOL,AMBAGAHAPELESSA,0713296828,,Central,Kandy,Teldeniya,Minipe,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Congenial,66
1960,0407021,3691,KADIELENA T.V.,KATABOOLA,0545685703,gamkadienlenatv@gmail.com,Central,Kandy,Gampola,Pasbage Korale,Tamil,Mixed,Provincial,Type 2,Grade 1-11,Difficult,192
1961,0407022,3692,GREENWOOD TAMIL VIDYALAYAM,NAWALAPITIYA,0779009648,gamgreenwoodtv@gmail.com,Central,Kandy,Gampola,Pasbage Korale,Tamil,Mixed,Provincial,Type 2,Grade 1-11,Difficult,257
1962,0406028,3693,GEMUNUPURA PRIMARY SCHOOL,"GEMUNUPURA, UDAHENTHENNA",,gemunupurakv@gmail.com,Central,Kandy,Gampola,Ganga Ihala Korale,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,150
1963,0417023,3695,KUMBUKGOLLA PRIMARY SCHOOL,KUMBUKGOLLA MEEMURE,0815653735,,Central,Kandy,Teldeniya,Udadumbara,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Very Difficult,11
1964,0413034,3696,KAHAWATHTHA P.V.,"KAHAWATHTHA, AMBATHANNA.",,,Central,Kandy,Katugastota,Poojapitiya,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,29
1965,0409024,3698,DUNGOLLA PRIMARY SCHOOL,DUNGOLLA BATUMULLA,0718456556,,Central,Kandy,Teldeniya,Minipe,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Difficult,29
1966,0410044,3700,RANGALA PRIMARY TAMIL VIDYALAYA,RANGALA,0774799312,,Central,Kandy,Teldeniya,Medadumbara,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Difficult,145
1967,0410045,3701,HIJRAPURA MUSLIM MAHA VIDYALAYA,RAJAWELLA,0812054775,ilyas131179@gmail.com,Central,Kandy,Teldeniya,Medadumbara,Tamil,Mixed,Provincial,1C,Grade 1-13,Congenial,598
1968,0414026,3702,KALAIMAGAL TAMIL V.,ALAWATHUGODA,,,Central,Kandy,Katugastota,Akurana,Tamil,Mixed,Provincial,Type 2,Grade 1-11,Congenial,328
1969,0404047,3703,AL AMAAN MUSLIM VIDYALAYA,"ELPITIYA, WELIGALLA",0779191410,gamalamaanmmv@gmail.com,Central,Kandy,Gampola,Udapalatha,Tamil,Mixed,Provincial,Type 2,Grade 1-11,Difficult,87
1970,0401054,3704,RANABIMA ROYAL COLLEGE,PERADENIYA,0812387321,rrc.kandy@gmail.com,Central,Kandy,Kandy,Gangawata Korale,Sinhala/ Tamil/ English,Male,Provincial,1AB,Grade 6-13,Congenial,1304
1971,0406029,3705,KELLY JANAPADAYA PRIMARY SCHOOL,DOLOSBAGE,,gamkelijanapadakv@gmail.com,Central,Kandy,Gampola,Ganga Ihala Korale,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Very Difficult,40
1972,0415028,3706,KANDY MODEL S.,PALLETHALAWINNA KATUGASTHOTA,0812494795,kmspriedu gmail.com,Central,Kandy,Wathegama,Pathadumbara,Sinhala/ English,Mixed,Provincial,1C,Grade 1-13,Congenial,1462
1973,0401064,3707,PRESIDENT MODEL PRIMARY SCHOOL,"SRI KUDARATWATTE MAWATHA , KANDY",0812215240,pmskandy@sltnet.lk,Central,Kandy,Kandy,Gangawata Korale,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Congenial,247
1974,0401065,3708,RISIKALA AESTHETIC COLLEGE,"MAVILMADA, KANDY",0812210290,,Central,Kandy,Kandy,Gangawata Korale,Sinhala/ Tamil,Mixed,Provincial,1C,Grade 6-13,Congenial,142
1975,0406002,3709,KURUNDUWATTA ROYAL COLLEGE,KURUNDUWATTA BAZAAR KURUNDUWATTA,0812357173,Krcgampola@yahoo.com,Central,Kandy,Gampola,Ganga Ihala Korale,Sinhala/ Tamil/ English,Mixed,Provincial,1AB,Grade 6-13,Congenial,1231
1976,0409026,3710,VIDYA PRADEEPA PRIMARY SCHOOL,UDAWELA BARAWARDANAOYA,0718071915,,Central,Kandy,Teldeniya,Minipe,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Congenial,601
1977,0403062,3711,VIDYANANDA BUDDHIST PRIMARY SCHOOL,"VIDYANANDA BUDDHIST PRIMARY SCHOOL, DELTOTA",0814993431,,Central,Kandy,Kandy,Pathahewaheta,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,345
1978,0416023,3712,PANWILA MODEL P.C.,PANWILA,0812472308,panvilamodal@gmail.com,Central,Kandy,Wathegama,Panvila,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Congenial,302
1979,0417005,3713,UDADUMBARA SARATH EKANAYAKA MODEL PRIMARYT SHOOL,UDADUMBARA,0713551957,,Central,Kandy,Teldeniya,Udadumbara,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Very Congenial,397
1980,0415030,3714,AL MUMAWWARA P.S.,MADAWALA BAZAAR,0812476105,,Central,Kandy,Wathegama,Pathadumbara,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Congenial,1054
1981,0411040,3715,KEHELIYA RAMBUKWELLA M.P.S.,KUNDASALE,0812420546,,Central,Kandy,Wathegama,Kundasale,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Congenial,545
1982,0409025,3716,MINIPE SARATH EKANAYAKA MODEL PRIMRY SHOOL,HASALAKA,0552257682,,Central,Kandy,Teldeniya,Minipe,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Very Congenial,409
1983,0413035,3717,ANKUMBURA MODEL P.V.,ANKUNMBURA.,0662051501,ankumburaprimary@gmail.com,Central,Kandy,Katugastota,Poojapitiya,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Very Congenial,508
1984,0405058,3719,UDUNUWARA MODEL P.S.,MURUTHALAWA,0813760686,udunuwaramodelprimary@gmail.com,Central,Kandy,Denuwara,Udunuwara,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Congenial,522
1985,0405059,3720,AN NOOR PRIMARY VIDYALAYA,HANDESSA,,,Central,Kandy,Denuwara,Udunuwara,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Very Congenial,653
1986,0404073,3721,HINDU PRIMARY SCHOOL,PUSSELLAWA,0812478225,k.HINDUPRIMARYSCHOOLGMAIL.COM,Central,Kandy,Gampola,Udapalatha,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,238
1987,0411039,3723,DUMBARA ROYAL P.V,YAKGAHAPITIYA GUNNEPANA,0812050425,droyal/ps@gmail.com,Central,Kandy,Wathegama,Kundasale,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Congenial,641
1988,0415029,3724,WIMALADHARMASOORIYA M.P.V.,NAWAYALATENNA KATUGASTOTA,0812499262,wimaladharmasuriya mpv @ gmail.com,Central,Kandy,Wathegama,Pathadumbara,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Congenial,354
1989,0407037,3725,"AL SAFA PRIMARY SCHOOL, NAWALAPITIYA.","DOLASBAGE ROAD, NAWALAPITIYA.",0776294913,gamalsafaps@ gmail. com,Central,Kandy,Gampola,Pasbage Korale,Sinhala/ Tamil,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,380
1990,0405060,3726,AMEENIYA P.V.,VELAMBODA,0812066936,ameeniyaprimary@gmail.com,Central,Kandy,Denuwara,Udunuwara,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Congenial,461
1991,0403064,3727,AL HIKMA VIDYALAYA,"ENASALGOLLA, DELTOTA",,,Central,Kandy,Kandy,Pathahewaheta,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,254
1992,0413036,3728,MEDAGODA MODEL P.V.,"MEDAGODA, PUJAPITIYA.",,medagodampv2@gmail.com,Central,Kandy,Katugastota,Poojapitiya,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Congenial,367
1993,0409027,3729,NANODA PRIMARY SCHOOL,MORAYAYA MINIPE,0725498155,,Central,Kandy,Teldeniya,Minipe,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Congenial,381
1994,0417028,3730,MAHINDA MODEL PRIMARY SCHOOL,KALUNNTHENNA BOPANA,0718199691,mahinda&gmail.com,Central,Kandy,Teldeniya,Udadumbara,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Very Congenial,123
1995,0417029,3731,DUTUGEMUNU PRIMARY SCHOOL,"KAHATALIYADDA, UDADUMBARA",0815654200,,Central,Kandy,Teldeniya,Udadumbara,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Congenial,308
1996,0404074,3733,JINARAJA MODEL PRIMARY SCHOOL,SINHAPITIYA GAMPOLA,0813760300,gamjinarajaps@gmail.com,Central,Kandy,Gampola,Udapalatha,Sinhala,Male,Provincial,Type 3,Grade 1-5,Very Congenial,881
1997,0414027,3734,DUNUWILA SUMANASARA M. P. S.,"DUNUWILA, AKURUNA",,,Central,Kandy,Katugastota,Akurana,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,154
1998,0407036,3736,KATHIRESAN MODEL PRIMARY SCHOOL,NAWALAPITIYA,0543120190,gamkathiresanmps@gmail.com,Central,Kandy,Gampola,Pasbage Korale,Tamil,Male,Provincial,Type 3,Grade 1-5,Very Congenial,422
1999,0402045,3737,SRI DHAMMARAKKITHA MODEL P.S.,DANTUREE,0813831638,,Central,Kandy,Denuwara,Yatinuwara,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Very Congenial,535
2000,0401063,3738,BERREWAERTS ROYAL PRIMARY COLLEGE,AMPITIYA,0812241112,,Central,Kandy,Kandy,Gangawata Korale,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Very Congenial,756
2001,0403065,3739,GALAHA MODEL SCHOOL,"PALLE DELTOTA ROAD, GALAHA",,gmsgalaha@gmail.com,Central,Kandy,Kandy,Pathahewaheta,Tamil,Mixed,Provincial,Type 3,Grade 1-8,Not Congenial,168
2002,0403066,3740,SRI SHANMUGA PRIMARY VIDYALAYAM,GALAHA,,,Central,Kandy,Kandy,Pathahewaheta,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,311
2003,0406030,3741,RATHNAWALI PRIMARY SCHOOL,ULAPANE,0718379388,gamrathnawaips@gmail.com,Central,Kandy,Gampola,Ganga Ihala Korale,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Congenial,377
2004,0404075,3742,D.M.JAYARATHNA PRIMARY SCHOOL,"NAWA GURUKELLE, DOLUWA, GAMPOLA.",0714401056,gamdmjayarathneps@gmail.com,Central,Kandy,Gampola,Udapalatha,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,186
2005,0406032,3743,CRAIHEAD NO-1 MODEL PRIMARY SCHOOL,UDAHENTHENNA,0757313692,,Central,Kandy,Gampola,Ganga Ihala Korale,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Difficult,137
2007,0507001,4001,D.S.SENANAYAKA MAHA VIDYALAYA,ERAULA JUNCTION.DAMBULLA,0662052456,cpgdssmv@gmail.com,Central,Matale,Galewela,Dambulla,Sinhala,Mixed,Provincial,1C,Grade 6-13,Congenial,620
2008,0507002,4002,THENNAKOON MAHA VIDDYALAYA,KANDALAMA DAMBULLA,,,Central,Matale,Galewela,Dambulla,Sinhala,Mixed,Provincial,1C,Grade 1-13,Not Congenial,204
2009,0507003,4003,RANGIRI DAMBULLA CENTRAL COLLEGE,DAMBULLA,0662284877,rdccdambulla@gmail.com,Central,Matale,Galewela,Dambulla,Sinhala/ English,Mixed,National,1AB,Grade 6-13,Not Congenial,2442
2010,0507004,4004,SIGIRIYA CENTRAL COLLEGE,SIGIRIYA,0662286608,CPGSIGIRIYACC@GMAIL.COM,Central,Matale,Galewela,Dambulla,Sinhala,Mixed,Provincial,1C,Grade 1-13,Very Congenial,783
2011,0507005,4005,ETHABENDIWEWA J.S.,ETHABENDIWEWA DAMBULLA,,,Central,Matale,Galewela,Dambulla,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Difficult,143
2012,0507006,4006,ERAULA JUNIOR SCHOOL,"PAHALA ERAULA, DAMBULLA",,,Central,Matale,Galewela,Dambulla,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,93
2013,0507007,4007,WEERA WIJAYA WIMALARATHNA MAHA VIDYALAYA,INAMALUWA,0662051303,weerawijayawimalarathnamv@gmail.com,Central,Matale,Galewela,Dambulla,Sinhala,Mixed,Provincial,1C,Grade 6-13,Congenial,555
2014,0507008,4008,MAHASEN JUNIOR SCHOOL,KALUNDAWA DAMBULLA,,,Central,Matale,Galewela,Dambulla,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,178
2015,0506001,4009,THALAKIRIYAGAMA M.V.,THALAKIRIYAGAMA,0663124587,thalakiriyagamamv@yahoo.com,Central,Matale,Galewela,Galewela,Sinhala,Mixed,Provincial,1C,Grade 1-13,Congenial,689
2016,0507009,4010,THITHTHAWELGOLLA JUNIOR SCHOOL,"KAPUWATTA, DAMBULLA",0663124718,,Central,Matale,Galewela,Dambulla,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Congenial,623
2017,0507010,4011,CP GD DIGAMPATHAHA JUNIOR SCHOOL,"DIGAMPATHAHA, KIMBISSA",0775626668,,Central,Matale,Galewela,Dambulla,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,451
2018,0507011,4012,PANNAMPITIYA MAHA VIDYALAYA,PANNAMPITIYA LENADORA,0663124680,PANNAMPITIYA@YAHOO.COM,Central,Matale,Galewela,Dambulla,Sinhala,Mixed,Provincial,1C,Grade 6-13,Not Congenial,420
2019,0507012,4013,PELWEHERA JUNIOR SCHOOL,PELWEHERA DAMBULLA,,Pelweherajs@gamil.com,Central,Matale,Galewela,Dambulla,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,219
2020,0507013,4014,LENADORA JUNIOR SCHOOL,LENADORA,0718229165,,Central,Matale,Galewela,Dambulla,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Congenial,125
2021,0507014,4015,LENAWA PRIMARY SCHOOL,LENAWA KIMBISSA,0724927052,,Central,Matale,Galewela,Dambulla,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Difficult,93
2022,0507015,4016,WEWALAWEWA MAHA VIDYALAYA,WEWALAWEWA DAMBULLA,0713395937,wewalaschool@gmail.com,Central,Matale,Galewela,Dambulla,Sinhala,Mixed,Provincial,1C,Grade 6-13,Difficult,447
2023,0507016,4017,ALAKOLAWEWA J.S,WEWALAWEWA DAMBULLA,0775552087,,Central,Matale,Galewela,Dambulla,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,37
2024,0507017,4018,IHALA ERAULA PRIMARY SCHOOL,"IHALA ERAULA, DAMBULLA",,,Central,Matale,Galewela,Dambulla,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Difficult,57
2025,0507018,4019,UDAWELAYAGAMA KANISTA VIDYALAYA,"UDAWELAYAGAMA KANISTA VIDYALAYA, SIGIRIYA",0665675533,,Central,Matale,Galewela,Dambulla,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Very Difficult,141
2026,0507019,4020,KALOGAHAELA PRIMARY SCHOOL,EREULA JUNCTION DAMBULL,0663682483,,Central,Matale,Galewela,Dambulla,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Difficult,172
2027,0507020,4021,KIMBISSA JUNIOR SCHOOL,KIMBISSA,,cpgkimbissa@gmail.com,Central,Matale,Galewela,Dambulla,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,460
2028,0507021,4022,KIRALAGOLLA PRIMARY SCHOOL,"KIRALAGOLLA, DAMBULLA",0663004659,,Central,Matale,Galewela,Dambulla,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,387
2029,0507022,4023,THALKOTE PRIMARY SCHOOL,SIGIRIYA,0710123189,,Central,Matale,Galewela,Dambulla,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Very Difficult,32
2030,0507023,4024,DAMBULLA PRIMARY SCHOOL,DAMBULLA,0662284286,dambullaprimaryschool@gmail.com,Central,Matale,Galewela,Dambulla,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Congenial,1013
2031,0507024,4025,NAGALAWEWA PRIMARY SCHOOL,KIMBISSA,0717247259,,Central,Matale,Galewela,Dambulla,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Difficult,64
2032,0507025,4026,POLATHTHAWA PRIMARY SCHOOL,"POLATHTHAWA , SIGIRIYA",,,Central,Matale,Galewela,Dambulla,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,50
2033,0507026,4027,BULAGALA PRIMARY SCHOOL,BULAGALA DAMBULLA,,,Central,Matale,Galewela,Dambulla,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,147
2034,0507027,4028,RATHMALGAHAELA JUNIOR SCHOOL,RATHMALGAHAELA DAMBULLA,,,Central,Matale,Galewela,Dambulla,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Difficult,331
2035,0507028,4029,WALGAMWEWA JUNIOR SCHOOL,WALGAMWEWA LENADORA,0724750948,,Central,Matale,Galewela,Dambulla,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Difficult,143
2036,0507029,4030,WATHTHE GAMMADDA PRIMARY SCHOOL,LENADORA,0729521106,,Central,Matale,Galewela,Dambulla,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Difficult,75
2037,0507030,4031,PALUTAWA PRIMARY SCHOOL,KIMBISSA,0723577431,,Central,Matale,Galewela,Dambulla,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Very Difficult,57
2038,0506002,4032,THENNAKOONPURA PRIMARY SCHOOL,"THENNAKOONPURA, THALAKIRIYAGAMA",0711695990,,Central,Matale,Galewela,Galewela,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,67
2039,0507031,4033,BELLANNEOYA PRIMARY SCHOOL,BELLANNEOYA INAMALUWA,,,Central,Matale,Galewela,Dambulla,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,100
2040,0507032,4034,POHORANWEWA JUNIOR SCHOOL,POHORANWEWA DAMBULLA,0663126131,,Central,Matale,Galewela,Dambulla,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,364
2041,0507033,4035,WEERA MOHAN JAYAMAHA M.V.,"DAMBULUGAMA, DAMBULLA",0662283033,,Central,Matale,Galewela,Dambulla,Sinhala,Mixed,Provincial,1C,Grade 1-13,Congenial,1608
2042,0507034,4036,DIYAKEPILLA PRIMARY SCHOOL,"DIYAKEPILLA, SIGIRIYA",,,Central,Matale,Galewela,Dambulla,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Difficult,17
2043,0506003,4037,MADIPOLA MAHA VIDYALAYA,MADIPOLA,,ah.anura71@gmail.com,Central,Matale,Galewela,Galewela,Sinhala,Mixed,Provincial,1C,Grade 1-13,Congenial,419
2044,0509001,4038,MANINGAMUWA MAHA VIDYALAYA,PALLEPOLA MATALE,0663667390,,Central,Matale,Galewela,Pallepola,Sinhala,Mixed,Provincial,1C,Grade 1-13,Not Congenial,226
2045,0509002,4039,MILLAWANA MAHA VIDYALAYA,MILLAWANA MATHALE,,,Central,Matale,Galewela,Pallepola,Sinhala,Mixed,Provincial,1C,Grade 1-13,Very Congenial,367
2046,0506004,4040,MEDABEDDA M V,MEDABEDDA WASALAKOTTE,0777828188,medabeddass@gmail.com,Central,Matale,Galewela,Galewela,Sinhala,Mixed,Provincial,1C,Grade 6-13,Congenial,710
2047,0509003,4041,WEERA MADDUMA BANDARA JUNIOR SCHOOL,EHELEPOLA PALLEPOLA,0774065663,,Central,Matale,Galewela,Pallepola,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,117
2048,0509004,4042,KANDEWATTA P.S,MILLAWANA,,,Central,Matale,Galewela,Pallepola,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Difficult,32
2049,0506005,4043,DEMBAWA PRIMARY SCHOOL,DEMBAWA MADIPOLA,0713388515,,Central,Matale,Galewela,Galewela,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,86
2050,0509005,4044,MAHABODHI SECONDARY SCH00L,MAHABODHI SOCANDARY SCHOOL PALLEPOLA,0662247775,,Central,Matale,Galewela,Pallepola,Sinhala,Mixed,Provincial,1AB,Grade 6-13,Congenial,930
2051,0509007,4046,RUSIGAMA JUNIOR SCHOOL,RUSIGAMA PALLEPOLA,,,Central,Matale,Galewela,Pallepola,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Difficult,205
2052,0509008,4047,AKURAMBODA JUNIOR SCHOOL,AKURAMBODA,0662247448,akurambodakv@gmail.com,Central,Matale,Galewela,Pallepola,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,1325
2053,0509009,4048,AMBOKKA PRIMARY SCHOOL,AMBOKKA MILLAWANA,,,Central,Matale,Galewela,Pallepola,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,32
2054,0506006,4049,KEDANGAMUWA PRIMARAY SCHHOL,KEDANGAMUWA-MADIPOLA,0713353056,gayansuba90@gmail@com,Central,Matale,Galewela,Galewela,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Difficult,28
2055,0509010,4050,AKURAMBODA MODEL PRIMARY SCHOOL,"KIRIORUWA, AKURAMBODA, MATALE",0662247207,,Central,Matale,Galewela,Pallepola,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,104
2056,0509011,4051,KOBBEWEHERA JUNIOR SCHOOL,"MILLAWANA, MATHALE",0778452434,,Central,Matale,Galewela,Pallepola,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Congenial,173
2057,0509012,4052,KOSGOLLA PRIMARY SCHOOL,KOSGOLLA AKURAMBODA,,kosgollacollege@gmail.com,Central,Matale,Galewela,Pallepola,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Difficult,71
2058,0509013,4053,DEMADAOYA PRIMARY SCHOOL,NALANDA,,,Central,Matale,Galewela,Pallepola,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Difficult,3
2059,0509014,4054,NILANNORUWA PRIMARY SCHOOL,NILANNORUWA MADIPOLA MATALE,,,Central,Matale,Galewela,Pallepola,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Difficult,59
2060,0509015,4055,MANANWATHTHA PRIMARY SCHOOL,MANANWATHTHA,,,Central,Matale,Galewela,Pallepola,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,36
2061,0509016,4056,MONARAWILA PRIMARY SCHOOL,PALLEPOLA,,,Central,Matale,Galewela,Pallepola,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,15
2062,0509017,4057,WALMORUWA PRIMARY SCHOOL,NALANDA,,,Central,Matale,Galewela,Pallepola,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Difficult,11
2063,0509018,4058,THALAKIRIYAWA PRIMARY SCHOOL,THALAKIRIYAWA MADIPOLA,,,Central,Matale,Galewela,Pallepola,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,9
2064,0509019,4059,DIMBULGAMUWAP P S,DIMBULGAMUWA -MADALAWALA ULPOTHA,,,Central,Matale,Galewela,Pallepola,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Very Congenial,45
2065,0509020,4060,KOHOLANWALA PRIMARY SCHOOL,KOHOLANWALA MADAWALAULPOTHA,,,Central,Matale,Galewela,Pallepola,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Congenial,266
2066,0509021,4061,MILLAWANA PRIMARY SCHOOL,"MILLAWANAWATTA, AKKARAPANAHA, MELSIRIPURA",,,Central,Matale,Galewela,Pallepola,Tamil,Mixed,Provincial,Type 3,Grade 1-5,Difficult,10
2067,0506007,4062,GALEWELA C.C.,GALEWELA,0662289073,cpggcc@gmail.com,Central,Matale,Galewela,Galewela,Sinhala/ English,Mixed,Provincial,1AB,Grade 6-13,Congenial,2239
2068,0506008,4063,MAKULUGASWEWA MAHA VIDYALAYA,"DEWAHUWA, GALEWELA",,cpgmmvdewahuwa@gmail.com,Central,Matale,Galewela,Galewela,Sinhala,Mixed,Provincial,1C,Grade 6-13,Congenial,511
2069,0506009,4064,ST. ANTHONY'S COLLEGE,WASALAKOTTE,0665718530,,Central,Matale,Galewela,Galewela,Sinhala,Mixed,Provincial,1C,Grade 1-13,Congenial,321
